" Datos Básicos  - Agricultura"
"Datos de: FAMILIA INDICADOR=AGRICULTURA"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,,,,,,,
"INDICADOR",,"EXPLOTACIONES AGRARIAS","SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)","UNIDADES GANADERAS","FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","ASALARIADOS FIJOS QUE TRABAJAN EN EXPLOTACIONES AGRARIAS","MAQUINARIA AGRÍCOLA","MARGEN BRUTO TOTAL DE LAS EXPLOTACIONES AGRARIAS (EUR.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,Sum,
"1989","05001 ADANERO",          56,        2500,        2297,        2288,           9,        2299,         935,          72,           5,          51,   637541.62,
,"05002 ADRADA (LA)",         330,        5507,          92,          71,          21,        3053,         971,         421,          24,          49,  667598.235,
,"05005 ALBORNOS",          66,        1393,        1161,        1144,          17,        1374,        1019,         100,           5,          65,   545694.95,
,"05007 ALDEANUEVA DE SANTA CRUZ",          55,         842,          35,          12,          23,         741,         331,         100,           1,          14,  163541.404,
,"05008 ALDEASECA",          89,        2125,        1910,        1674,         236,        2110,         541,         113,           1,          86,  769980.647,
,"05010 ALDEHUELA (LA)",         118,        1840,          84,          60,          23,        1696,         860,         117,           2,          62,  387484.524,
,"05012 AMAVIDA",         113,        1399,         402,         387,          16,         763,         505,         121,           1,          40,  295806.138,
,"05013 ARENAL (EL)",         774,        2163,         399,          68,         330,         521,         199,        1070,           3,         157,   168319.45,
,"05014 ARENAS DE SAN PEDRO",         827,       15474,         978,         755,         223,        4966,        1732,        1518,          35,         194,  890663.878,
,"05015 AREVALILLO",          75,         913,          24,          23,           1,         887,         321,          77,           1,           7,  114372.603,
,"05016 AREVALO",         148,        4627,        1853,        1409,         445,        1917,        1387,         169,          11,          99,  929345.017,
,"05017 AVEINTE",          46,        1030,         918,         913,           5,         976,         259,          49,           2,          29,  247935.523,
,"05018 AVELLANEDA",          39,         897,          17,          11,           6,         153,         128,          50,           2,           2,   81455.171,
,"05019 AVILA",         645,       20677,        1742,        1685,          57,       17309,        4388,         666,          53,         107,  1976163.86,
,"05021 BARCO DE AVILA (EL)",         176,        1114,          91,           2,          89,         898,         760,         203,           5,          28,  362067.722,
,"05022 BARRACO (EL)",         805,       14007,         359,         354,           6,         559,        1313,        1011,           6,          53,  391715.649,
,"05023 BARROMAN",          45,        1649,        1641,        1399,         243,        1641,         334,          66,           9,          58,  535910.473,
,"05024 BECEDAS",         114,        3336,          83,           3,          79,        2775,         927,         142,           3,          40,  640642.843,
,"05025 BECEDILLAS",         104,        1797,         157,         152,           4,        1025,         588,         128,           1,          20,  276808.145,
,"05026 BERCIAL DE ZAPARDIEL",         108,        1512,        1494,        1102,         392,        1509,         579,         128,           7,          68,  708184.583,
,"05027 BERLANAS (LAS)",          78,        1709,        1557,        1504,          53,        1696,        1531,          99,           7,         103,  737477.913,
,"05029 BERNUY-ZAPARDIEL",          63,        1575,        1375,        1351,          24,        1565,         579,          79,           2,          49,  461565.276,
,"05030 BERROCALEJO DE ARAGONA",          57,         927,          74,          74,           .,         926,         150,          57,           6,           7,   74423.329,
,"05033 BLASCOMILLAN",          55,        4584,        2738,        2684,          53,        3252,         797,          70,          19,          66,  785330.497,
,"05034 BLASCONUÑO DE MATACABRAS",          23,         900,         774,         683,          91,         801,         115,          31,           1,          24,  290787.686,
