" Superficies agrarias"
"Datos de: INDICADORES=SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.), SUP. TOT. EN T. LABRADAS (HA.), SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.), SUP. TOT. EN T. LABRADAS DE SECANO (HA.), SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)"
"INDICADORES",,"SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,
AÑOS,PROVINCIAS,Sum,Sum,Sum,Sum,Sum,
"1989","AVILA",      719254,       16053,      179207,      163162,      506100,
,"BURGOS",     1285145,       19070,      546066,      526987,      756898,
,"LEON",     1349594,       81813,      285184,      203371,      443984,
,"PALENCIA",      682783,       38781,      440825,      402047,      465981,
,"SALAMANCA",     1075226,       27413,      335602,      308205,      862474,
,"SEGOVIA",      579601,       11161,      255601,      244437,      355327,
,"SORIA",      853552,        6729,      324836,      318104,      439677,
,"VALLADOLID",      693852,       59827,      561764,      501960,      573087,
,"ZAMORA",      865203,       40609,      415258,      374649,      528065,

"1999","AVILA",   672775.58,     17287.8,   188099.26,   170811.46,   553424.98,
,"BURGOS",  1275488.84,    20889.93,   591742.28,   570852.35,   871821.98,
,"LEON",  1313722.75,   100845.61,   312369.01,    211523.4,   691169.34,
,"PALENCIA",   721869.64,    46182.87,   480237.08,   434054.21,   614562.94,
,"SALAMANCA",  1097819.05,    36911.47,      333430,   296518.53,    985579.5,
,"SEGOVIA",   633801.81,    16435.46,   274520.35,   258084.89,   413816.63,
,"SORIA",   856787.36,    10084.19,   360096.19,      350012,   471190.26,
,"VALLADOLID",   739523.86,    94873.98,   590577.03,   495703.05,   609229.52,
,"ZAMORA",   838318.84,    53168.65,   426633.91,   373465.26,   573035.49,

"2009","AVILA",   594334.87,    23580.62,           .,   479023.09,   502603.71,
,"BURGOS",   926150.21,    20221.87,           .,   757169.26,   777391.13,
,"LEON",   958606.29,   126418.77,           .,    499495.6,   625914.37,
,"PALENCIA",   653592.73,    57936.06,           .,   510020.56,   567956.62,
,"SALAMANCA",   954406.72,    37183.03,           .,   853533.79,   890716.82,
,"SEGOVIA",    512368.9,    17710.19,           .,   384595.11,    402305.3,
,"SORIA",   664192.47,    10832.94,           .,      450595,   461427.94,
,"VALLADOLID",   639176.63,    90493.64,           .,   496914.01,   587407.65,
,"ZAMORA",   781125.48,     51922.4,           .,    494822.5,    546744.9,











