" Datos Básicos  - Superficies Agrarias"
"Datos de: INDICADOR=SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.), SUP. TOT. EN T. LABRADAS (HA.), SUP. TOT. EN T. LABRADAS DE SECANO (HA.), SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.), SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)"
"FAMILIA INDICADOR",,"AGRICULTURA",,,,,
"INDICADOR",,"SUP. TOT. DE LAS EXPLOTACIONES AGRARIAS (HA.)","SUP. TOT. EN T. LABRADAS (HA.)","SUP. TOT. EN T. LABRADAS DE SECANO (HA.)","SUP. TOT. DE T. LABRADAS DE REGADÍO (HA.)","SUPERFICIE AGRÍCOLA UTILIZADA (SAU) DE LAS EXPLOTACIONES AGRARIAS (HA.)",
,,VALOR,VALOR,VALOR,VALOR,VALOR,
FECHA,MUNICIPIO,Sum,Sum,Sum,Sum,Sum,
"1989","05001 ADANERO",        2500,        2297,        2288,           9,        2299,
,"05002 ADRADA (LA)",        5507,          92,          71,          21,        3053,
,"05005 ALBORNOS",        1393,        1161,        1144,          17,        1374,
,"05007 ALDEANUEVA DE SANTA CRUZ",         842,          35,          12,          23,         741,
,"05008 ALDEASECA",        2125,        1910,        1674,         236,        2110,
,"05010 ALDEHUELA (LA)",        1840,          84,          60,          23,        1696,
,"05012 AMAVIDA",        1399,         402,         387,          16,         763,
,"05013 ARENAL (EL)",        2163,         399,          68,         330,         521,
,"05014 ARENAS DE SAN PEDRO",       15474,         978,         755,         223,        4966,
,"05015 AREVALILLO",         913,          24,          23,           1,         887,
,"05016 AREVALO",        4627,        1853,        1409,         445,        1917,
,"05017 AVEINTE",        1030,         918,         913,           5,         976,
,"05018 AVELLANEDA",         897,          17,          11,           6,         153,
,"05019 AVILA",       20677,        1742,        1685,          57,       17309,
,"05021 BARCO DE AVILA (EL)",        1114,          91,           2,          89,         898,
,"05022 BARRACO (EL)",       14007,         359,         354,           6,         559,
,"05023 BARROMAN",        1649,        1641,        1399,         243,        1641,
,"05024 BECEDAS",        3336,          83,           3,          79,        2775,
,"05025 BECEDILLAS",        1797,         157,         152,           4,        1025,
,"05026 BERCIAL DE ZAPARDIEL",        1512,        1494,        1102,         392,        1509,
,"05027 BERLANAS (LAS)",        1709,        1557,        1504,          53,        1696,
,"05029 BERNUY-ZAPARDIEL",        1575,        1375,        1351,          24,        1565,
,"05030 BERROCALEJO DE ARAGONA",         927,          74,          74,           .,         926,
,"05033 BLASCOMILLAN",        4584,        2738,        2684,          53,        3252,
